                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.41939,                0.88549,                0.82842,                0.86979,                      1,                  0.995,                0.87702,                0.56982,                0.48077,                0.84018,                  4e-05,                  4e-05,                  4e-05
                      2,                 0.3777,                0.83005,                0.79782,                0.86979,                      1,                  0.995,                0.87702,                0.56982,                0.48077,                0.84018,             8.4439e-05,             8.4439e-05,             8.4439e-05
                      3,                0.44622,                0.92169,                0.82109,                0.83527,                      1,                  0.995,                0.88691,                0.54346,                0.45597,                0.83728,             0.00012828,             0.00012828,             0.00012828
                      4,                0.47933,                 1.0258,                0.81759,                0.83527,                      1,                  0.995,                0.88691,                0.54346,                0.45597,                0.83728,             0.00017154,             0.00017154,             0.00017154
                      5,                0.55038,                0.95235,                0.84175,                0.83527,                      1,                  0.995,                0.88691,                0.54346,                0.45597,                0.83728,             0.00021419,             0.00021419,             0.00021419
                      6,                0.45105,                0.90156,                0.83533,                0.83527,                      1,                  0.995,                0.88691,                0.54346,                0.45597,                0.83728,             0.00025625,             0.00025625,             0.00025625
                      7,                0.49044,                0.81128,                0.81836,                0.83814,                      1,                  0.995,                0.88757,                0.55638,                0.46877,                 0.8396,             0.00029772,             0.00029772,             0.00029772
                      8,                0.42098,                 11.911,                0.75067,                0.83814,                      1,                  0.995,                0.88757,                0.55638,                0.46877,                 0.8396,              0.0003386,              0.0003386,              0.0003386
                      9,                0.52017,                0.82385,                0.80767,                0.83814,                      1,                  0.995,                0.88757,                0.55638,                0.46877,                 0.8396,             0.00037888,             0.00037888,             0.00037888
                     10,                0.65882,                 7.5939,                0.85778,                0.83814,                      1,                  0.995,                0.88757,                0.55638,                0.46877,                 0.8396,             0.00041857,             0.00041857,             0.00041857
                     11,                0.49391,                 0.8554,                0.81093,                0.83814,                      1,                  0.995,                0.88757,                0.55638,                0.46877,                 0.8396,             0.00045766,             0.00045766,             0.00045766
                     12,                0.48512,                0.81663,                0.82658,                0.83814,                      1,                  0.995,                0.88757,                0.55638,                0.46877,                 0.8396,              0.0004637,              0.0004637,              0.0004637
                     13,                0.49139,                0.85293,                0.81839,                0.83814,                      1,                  0.995,                0.88757,                0.55638,                0.46877,                 0.8396,              0.0004604,              0.0004604,              0.0004604
                     14,                0.48252,                0.84404,                 0.8244,                0.82866,                      1,                  0.995,                0.88546,                0.56034,                0.46407,                0.83994,              0.0004571,              0.0004571,              0.0004571
                     15,                0.46866,                0.82639,                 0.8138,                0.82866,                      1,                  0.995,                0.88546,                0.56034,                0.46407,                0.83994,              0.0004538,              0.0004538,              0.0004538
                     16,                0.51563,                0.90273,                 0.8256,                0.82866,                      1,                  0.995,                0.88546,                0.56034,                0.46407,                0.83994,              0.0004505,              0.0004505,              0.0004505
                     17,                0.47079,                 0.8196,                0.81362,                0.82866,                      1,                  0.995,                0.88546,                0.56034,                0.46407,                0.83994,              0.0004472,              0.0004472,              0.0004472
                     18,                0.51269,                0.86827,                0.82552,                0.82866,                      1,                  0.995,                0.88546,                0.56034,                0.46407,                0.83994,              0.0004439,              0.0004439,              0.0004439
                     19,                0.45784,                0.82697,                 0.8224,                0.82866,                      1,                  0.995,                0.88546,                0.56034,                0.46407,                0.83994,              0.0004406,              0.0004406,              0.0004406
                     20,                0.50096,                0.82087,                0.81991,                0.82866,                      1,                  0.995,                0.88546,                0.56034,                0.46407,                0.83994,              0.0004373,              0.0004373,              0.0004373
                     21,                0.51123,                 1.1482,                0.81808,                0.90043,                0.91968,                  0.995,                 0.8769,                0.59236,                0.51835,                0.85047,               0.000434,               0.000434,               0.000434
                     22,                0.62972,                0.95535,                0.84182,                0.90043,                0.91968,                  0.995,                 0.8769,                0.59236,                0.51835,                0.85047,              0.0004307,              0.0004307,              0.0004307
                     23,                0.67624,                 2.5853,                0.88449,                0.90043,                0.91968,                  0.995,                 0.8769,                0.59236,                0.51835,                0.85047,              0.0004274,              0.0004274,              0.0004274
                     24,                0.57293,                0.98067,                0.81917,                0.90043,                0.91968,                  0.995,                 0.8769,                0.59236,                0.51835,                0.85047,              0.0004241,              0.0004241,              0.0004241
                     25,                0.56914,                 1.0408,                0.86398,                0.90043,                0.91968,                  0.995,                 0.8769,                0.59236,                0.51835,                0.85047,              0.0004208,              0.0004208,              0.0004208
                     26,                0.57356,                 1.2267,                0.85233,                0.90043,                0.91968,                  0.995,                 0.8769,                0.59236,                0.51835,                0.85047,              0.0004175,              0.0004175,              0.0004175
